Z,Y,T
-0.0045517,-0.001431,229.10747487781381
0.0045517,-0.0002241,244.01679293604852
-0.0045517,-0.0002241,244.01679293604852
0.0045517,0.0009828,262.83747206313103
-0.0045517,0.0009828,262.83747206313103
0.0045517,0.0021897,287.0644083652826
-0.0045517,0.0021897,287.0644083652826
0.0045517,0.0033966,317.0115656469541
-0.0045517,0.0033966,317.0115656469541
0.0045517,0.0046034,353.372216902595
-0.0045517,0.0046034,353.372216902595
0.0045517,0.0058103,396.90260879156557
-0.0045517,0.0058103,396.90260879156557
0.0045517,0.0070172,448.5884158529621
-0.0045517,0.0070172,448.5884158529621
0.0045517,0.0082241,507.9395115462896
-0.0045517,0.0082241,507.9395115462896
0.0045517,0.009431,574.6183390474507
-0.0045517,0.009431,574.6183390474507
0.0045517,0.0106379,648.5717623300134
-0.0045517,0.0106379,648.5717623300134
0.0045517,0.0118448,729.9083872590904
